TargetLoc,LeftStim,RightStim,CombinedStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,IndicatorCenter,TargetShape,iTargetShape,PreSwitchUL,IndicatorUL,PreSwitchDL,IndicatorDL,PreSwitchUR,IndicatorUR,PreSwitchDR,IndicatorDR
Center,CurveSegUL,CircleDiamondDR,CurveSegUL+CircleDiamondDR,0,0,0,0,0,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,Circle,Diamond,,
Center,GapDL,CircleDiamondDR,GapDL+CircleDiamondDR,0,0,0,1,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,Circle,Diamond,,
Center,GapL,CircleDiamondDR,GapL+CircleDiamondDR,1,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,Circle,Diamond,,
Center,GapUL,CircleDiamondDR,GapUL+CircleDiamondDR,0,0,1,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,Circle,Diamond,,
Center,CircleDiamondDL,CircleDiamondUR,CircleDiamondDL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Diamond,,,Circle,Diamond
Center,CircleDiamondUL,CircleDiamondUR,CircleDiamondUL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Diamond,,,,,Circle,Diamond
Center,CircleSquareDL,CircleDiamondUR,CircleSquareDL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Square,,,Circle,Diamond
Center,CircleSquareUL,CircleDiamondUR,CircleSquareUL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Square,,,,,Circle,Diamond
Center,CurveSegDL,CircleDiamondUR,CurveSegDL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,1,0,0,Diamond,Diamond,2,,,,,,,Circle,Diamond
Center,CurveSegUL,CircleDiamondUR,CurveSegUL+CircleDiamondUR,0,0,0,0,0,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,,,Circle,Diamond
Center,GapDL,CircleDiamondUR,GapDL+CircleDiamondUR,0,0,0,1,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,Circle,Diamond
Center,GapL,CircleDiamondUR,GapL+CircleDiamondUR,1,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,Circle,Diamond
Center,GapUL,CircleDiamondUR,GapUL+CircleDiamondUR,0,0,1,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,Circle,Diamond
Center,CircleDiamondDL,CircleSquareDR,CircleDiamondDL+CircleSquareDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Diamond,Circle,Square,,
Center,CircleDiamondUL,CircleSquareDR,CircleDiamondUL+CircleSquareDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Diamond,,,Circle,Square,,
Center,CircleSquareDL,CircleSquareDR,CircleSquareDL+CircleSquareDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Square,Circle,Square,,
Center,CircleSquareUL,CircleSquareDR,CircleSquareUL+CircleSquareDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Square,,,Circle,Square,,
Center,CurveSegDL,CircleSquareDR,CurveSegDL+CircleSquareDR,0,0,0,0,0,0,0,0,0,1,0,0,Diamond,Diamond,2,,,,,Circle,Square,,
Center,CurveSegUL,CircleSquareDR,CurveSegUL+CircleSquareDR,0,0,0,0,0,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,Circle,Square,,
Center,GapDL,CircleSquareDR,GapDL+CircleSquareDR,0,0,0,1,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,Circle,Square,,
Center,GapL,CircleSquareDR,GapL+CircleSquareDR,1,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,Circle,Square,,
Center,GapUL,CircleSquareDR,GapUL+CircleSquareDR,0,0,1,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,Circle,Square,,
Center,CircleDiamondDL,CircleSquareUR,CircleDiamondDL+CircleSquareUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Diamond,,,Circle,Square
Center,CircleDiamondUL,CircleSquareUR,CircleDiamondUL+CircleSquareUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Diamond,,,,,Circle,Square
Center,CircleSquareDL,CircleSquareUR,CircleSquareDL+CircleSquareUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Square,,,Circle,Square
Center,CircleSquareUL,CircleSquareUR,CircleSquareUL+CircleSquareUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Square,,,,,Circle,Square
Center,CurveSegDL,CircleSquareUR,CurveSegDL+CircleSquareUR,0,0,0,0,0,0,0,0,0,1,0,0,Diamond,Diamond,2,,,,,,,Circle,Square
Center,CurveSegUL,CircleSquareUR,CurveSegUL+CircleSquareUR,0,0,0,0,0,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,,,Circle,Square
